Page type,LIVE URL,NEW file (slug),URL match?,LIVE title,NEW title,Title match?,NEW meta desc?,NEW lang,NEW H1,H1 ct,H2 ct,Schema?,Status / action
Home,/,index.html,NO — flat vs nested,"Comfort One | Best HVAC Company Scottsdale, AZ | 300+ 5 Star Reviews",Comfort One — HVAC Services,REVIEW,MISSING,es ✗,We Are Here For You,1,9,NONE,Redirect needed + fix lang/meta/schema
About,/about-us/,about.html,NO — flat vs nested,(confirm on live),About Us — Comfort One,confirm live,MISSING,es ✗,About Us,1,5,NONE,Redirect needed + fix lang/meta/schema
About,/about-us/meet-the-team/,meet-the-team.html,NO — flat vs nested,(confirm on live),Meet the Team — Comfort One,confirm live,MISSING,es ✗,Meet the Team,1,2,NONE,Redirect needed + fix lang/meta/schema
About,/about-us/reviews/,reviews.html,NO — flat vs nested,(confirm on live),Reviews — Comfort One Air Conditioning,confirm live,MISSING,es ✗,Comfort One Air Conditioning Reviews,1,5,NONE,Redirect needed + fix lang/meta/schema
About,/about-us/financing/,financing.html,NO — flat vs nested,(confirm on live),HVAC Financing — Comfort One Air Conditioning,confirm live,MISSING,es ✗,HVAC financing,1,9,NONE,Redirect needed + fix lang/meta/schema
Blog listing,/about-us/blog/,blog.html,NO — flat vs nested,"Heating, Ventilation & Air Conditioning Blog",Blog — Comfort One Air Conditioning,REVIEW,MISSING,es ✗,"Heating, Ventilation & Air Conditioning Blog",1,0,NONE,Redirect needed + fix lang/meta/schema
About,/about-us/hvac-projects/,hvac-projects.html,NO — flat vs nested,(confirm on live),HVAC Projects — Comfort One,confirm live,MISSING,es ✗,Our Project Portfolio,1,3,NONE,Redirect needed + fix lang/meta/schema
About,/recent-projects/,recent-projects.html,NO — flat vs nested,(confirm on live),Recent Projects — Comfort One Air Conditioning,confirm live,MISSING,es ✗,—,0,0,NONE,Redirect needed + fix lang/meta/schema
Core,/comfort-club-hvac-maintenance-plan/,comfort-club.html,NO — flat vs nested,(confirm on live),Comfort Club — HVAC Maintenance Plan — Comfort One,confirm live,MISSING,es ✗,Comfort Club HVAC Maintenance Plan,1,6,NONE,Redirect needed + fix lang/meta/schema
Core,/hvac-faq-scottsdale-az/,hvac-faq-scottsdale-az.html,NO — flat vs nested,(confirm on live),HVAC FAQ Scottsdale AZ — Comfort One Air Conditioning,confirm live,MISSING,es ✗,Your Questions — Our Answers,1,6,NONE,Redirect needed + fix lang/meta/schema
Core,/contact-us/,contact-us.html,NO — flat vs nested,(confirm on live),Contact Us — Comfort One Air Conditioning,confirm live,MISSING,es ✗,Contact us,1,4,NONE,Redirect needed + fix lang/meta/schema
Legal,/privacy-policy/,privacy-policy.html,NO — flat vs nested,(confirm on live),Privacy Policy — Comfort One Air Conditioning,confirm live,MISSING,es ✗,Privacy Policy,1,10,NONE,Redirect needed + fix lang/meta/schema
Service hub,/hvac-services/air-conditioning/,— (no file),MISSING,(confirm on live),—,—,—,—,—,—,—,—,BLOCKER: page missing in new build
Service hub,/hvac-services/heating/,— (no file),MISSING,(confirm on live),—,—,—,—,—,—,—,—,BLOCKER: page missing in new build
Service hub,/hvac-services/ductless-mini-splits/,— (no file),MISSING,(confirm on live),—,—,—,—,—,—,—,—,BLOCKER: page missing in new build
Service hub,/hvac-services/heat-pumps/,— (no file),MISSING,(confirm on live),—,—,—,—,—,—,—,—,BLOCKER: page missing in new build
Service,/hvac-services/air-conditioning/air-conditioning-repair/,air-conditioning-repair.html,NO — flat vs nested,BBB A+ | Air Conditioning Repair | +265 5 Star Reviews | Comfort One,"Air Conditioning Repair in Scottsdale, AZ — Comfort One Air Conditioning",REVIEW,MISSING,es ✗,Fast & reliable air conditioning repair near me in Scottsdal,1,12,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/air-conditioning/air-conditioning-installation/,air-conditioning-installation.html,NO — flat vs nested,(confirm on live),"Air Conditioning Installation in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"AC installation in Scottsdale, AZ — done right the first tim",1,6,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/air-conditioning/air-conditioning-replacement/,air-conditioning-replacement.html,NO — flat vs nested,(confirm on live),"Air Conditioning Replacement in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert air conditioning replacement near me in Scottsdale, A",1,10,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/air-conditioning/air-conditioning-maintenance/,air-conditioning-maintenance.html,NO — flat vs nested,(confirm on live),"Air Conditioning Maintenance in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert air conditioning maintenance near me in Scottsdale, A",1,9,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heating/furnace-repair/,furnace-repair.html,NO — flat vs nested,(confirm on live),"Furnace Repair in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert furnace repair near me in Scottsdale, AZ",1,12,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heating/furnace-installation/,furnace-installation.html,NO — flat vs nested,(confirm on live),"Furnace Installation in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Reliable furnace installation near me in Scottsdale, AZ",1,11,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heating/furnace-replacement/,furnace-replacement.html,NO — flat vs nested,(confirm on live),"Furnace Replacement in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert furnace replacement near me in Scottsdale, AZ",1,12,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heating/furnace-maintenance/,furnace-maintenance.html,NO — flat vs nested,(confirm on live),"Furnace Maintenance in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert furnace maintenance & tune-up near me in Scottsdale, ",1,10,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heat-pumps/heat-pump-repair/,heat-pump-repair.html,NO — flat vs nested,(confirm on live),"Heat Pump Repair in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert heat pump repair near me in Scottsdale, AZ",1,12,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heat-pumps/heat-pump-installation/,heat-pump-installation.html,NO — flat vs nested,(confirm on live),"Heat Pump Installation in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Reliable heat pump installation near me in Scottsdale, AZ",1,11,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heat-pumps/heat-pump-replacement/,heat-pump-replacement.html,NO — flat vs nested,(confirm on live),"Heat Pump Replacement in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert heat pump replacement near me in Scottsdale, AZ",1,11,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/heat-pumps/heat-pump-maintenance/,heat-pump-maintenance.html,NO — flat vs nested,(confirm on live),"Heat Pump Maintenance & Tune-Up in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert heat pump maintenance & tune-up in Scottsdale, AZ",1,10,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/ductless-mini-splits/ductless-mini-split-repair/,ductless-mini-split-repair.html,NO — flat vs nested,(confirm on live),"Ductless Mini Split Repair in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Ductless mini split repair near me in Scottsdale, AZ",1,12,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/ductless-mini-splits/ductless-mini-split-installation/,ductless-mini-split-installation.html,NO — flat vs nested,(confirm on live),"Ductless Mini Split Installation in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Reliable ductless mini split installation in Scottsdale, AZ",1,11,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/ductless-mini-splits/ductless-mini-split-replacement/,ductless-mini-split-replacement.html,NO — flat vs nested,(confirm on live),"Ductless Mini Split Replacement in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Expert ductless mini split replacement in Scottsdale, AZ",1,11,NONE,Redirect needed + fix lang/meta/schema
Service,/hvac-services/ductless-mini-splits/ductless-mini-split-maintenance/,ductless-mini-split-maintenance.html,NO — flat vs nested,(confirm on live),"Ductless Mini Split Maintenance in Scottsdale, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,Expert ductless mini split maintenance & tune-up near me in ,1,10,NONE,Redirect needed + fix lang/meta/schema
Service area hub,/service-area/,service-area.html,NO — flat vs nested,(confirm on live),Service Area — Comfort One Air Conditioning,confirm live,MISSING,es ✗,Service area,1,2,NONE,Redirect needed + fix lang/meta/schema
Service area,/service-area/hvac-contractor-anthem-az/,hvac-contractor-anthem-az.html,NO — flat vs nested,(confirm on live),"Trusted HVAC Contractor in Anthem, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Trusted HVAC contractor in Anthem, AZ",1,8,NONE,Redirect needed + fix lang/meta/schema
Service area,/service-area/hvac-contractor-carefree-az/,hvac-contractor-carefree-az.html,NO — flat vs nested,(confirm on live),"Best HVAC Contractor in Carefree, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Best HVAC contractor near me in Carefree, Arizona",1,8,NONE,Redirect needed + fix lang/meta/schema
Service area,/service-area/hvac-contractor-cave-creek-az/,hvac-contractor-cave-creek-az.html,NO — flat vs nested,(confirm on live),"Trusted HVAC Contractor in Cave Creek, AZ — Comfort One Air Conditioning",confirm live,MISSING,es ✗,"Trusted HVAC contractor in Cave Creek, AZ",1,8,NONE,Redirect needed + fix lang/meta/schema
